Order_ID,Date_Time,Time_of_Order,Demand_Level,Traffic_Congestion,Urgency_Level,Driver_Availability,Distance_km,Base_Price,MRP_Price,Competitor_Price,Weather_Impact,Special_Event,Customer_Loyalty,Stock_Availability,Final_Price,Handling_Charges,Delivery_Charges,Expiry_Days
ORD1,6/30/2024 10:38,10:38,Medium,Light,Same-day,Low,40.12,200.33,244.4,251.29,Stormy,None,4,In-stock,339.22,6.36,45.1,175
ORD2,10/8/2024 22:10,22:10,Low,Light,Same-day,High,2.08,458.57,675.47,575.69,Clear,None,2,Out of Stock,725.16,13.61,1.95,283
ORD3,2/13/2024 4:53,4:53,Medium,Light,Express,Medium,5.49,360.99,448.86,472.9,Clear,Sports Event,4,In-stock,533.05,10.85,3.85,247
ORD4,1/17/2024 6:01,6:01,High,Heavy,Express,High,34.23,22.86,25.27,26.07,Rainy,Holiday,1,In-stock,76.68,1.08,34.8,63
ORD5,12/7/2024 22:46,22:46,High,Light,Same-day,Medium,5.04,175.67,214.59,177.33,Clear,Holiday,3,Out of Stock,320.91,4.37,4.66,328
ORD6,5/30/2024 19:42,19:42,Medium,Heavy,Express,Low,5.49,283.69,425.29,478.69,Snowy,Holiday,1,Out of Stock,453.51,7.96,7.92,278
ORD7,10/17/2024 6:06,6:06,Medium,Light,Standard,High,43.05,304.29,350.25,341.73,Snowy,Sports Event,3,Out of Stock,495.22,7.41,76.95,248
ORD8,11/16/2024 12:06,12:06,Low,Heavy,Standard,Medium,47.47,46.62,59.64,67.88,Rainy,Holiday,4,In-stock,145.12,0.94,73.53,225
ORD9,6/23/2024 1:53,1:53,Medium,Moderate,Express,High,24.36,474,533.87,434.95,Stormy,None,2,Low Stock,671.42,19.82,41.33,126
ORD10,5/11/2024 19:16,19:16,Low,Light,Same-day,High,26.89,159.35,201.44,168.75,Clear,Holiday,2,Low Stock,252.69,5.24,43.07,196
ORD11,2/19/2024 22:34,22:34,Low,Light,Express,Low,16.34,339.78,400.05,409.9,Rainy,Sports Event,0,Out of Stock,489.51,11.37,19.16,282
ORD12,5/18/2024 7:07,7:07,High,Moderate,Standard,High,40.47,357.17,447.96,535.06,Stormy,Holiday,2,In-stock,727.1,13.05,67.73,226
ORD13,11/6/2024 10:03,10:03,High,Moderate,Standard,Medium,28.55,240.61,280.52,257.96,Clear,Sports Event,2,In-stock,412.77,7.59,48.84,205
ORD14,11/27/2024 4:12,4:12,Low,Moderate,Standard,High,36.49,165.32,200.79,216.52,Snowy,None,2,Out of Stock,303.49,6.86,57.53,135
ORD15,8/15/2024 9:21,9:21,Medium,Light,Same-day,High,36.4,90.48,108.67,99.58,Stormy,Holiday,2,In-stock,182.74,1.98,65.73,89
ORD16,11/4/2024 8:08,8:08,Medium,Light,Express,Low,25.77,409.58,601,582.22,Rainy,None,3,In-stock,590.92,15.96,15.16,201
ORD17,2/19/2024 20:41,20:41,Low,Heavy,Express,Low,42.98,68.68,90.1,89.98,Stormy,None,5,In-stock,171.69,3.32,81.82,10
ORD18,2/21/2024 20:00,20:00,Low,Light,Same-day,High,35.32,255.23,293.26,261.24,Rainy,Sports Event,2,Out of Stock,404.09,5.49,56.03,149
ORD19,11/23/2024 16:52,16:52,High,Heavy,Express,High,2.71,81.79,117.08,116.59,Rainy,Holiday,5,Low Stock,139.83,3.87,1.67,253
ORD20,7/15/2024 17:44,17:44,Medium,Moderate,Express,High,25.13,463.25,519.47,418.2,Snowy,Sports Event,5,Low Stock,554.66,18.47,27.67,49
