Order_ID,Date_Time,Time_of_Order,Demand_Level,Traffic_Congestion,Urgency_Level,Driver_Availability,Distance_km,Base_Price,MRP_Price,Competitor_Price,Weather_Impact,Special_Event,Customer_Loyalty,Stock_Availability,Final_Price,Handling_Charges,Delivery_Charges
10000,2025-02-27 22:29:57.984603,Night,Medium,Heavy,Flexible,Medium,1.08,17.09,19.57,15.62,Rainy,Concert,Medium,Medium,18.8,5.0,10.9
10001,2025-02-28 01:16:11.984603,Night,Medium,Heavy,Standard,Low,1.08,35.22,44.39,39.72,Clear,None,Medium,Medium,38.74,9.61,12.1
10002,2025-03-02 18:14:37.984603,Night,Low,Light,Standard,High,1.08,35.3,40.78,34.44,Clear,None,Medium,Medium,35.3,7.86,17.82
10003,2025-03-01 12:36:57.984603,Afternoon,Low,Moderate,Standard,High,1.08,34.39,42.53,35.7,Rainy,None,Medium,Low,34.39,6.79,10.1
10004,2025-02-27 19:15:07.984603,Night,Medium,Moderate,Urgent,Medium,1.08,47.75,51.73,44.97,Clear,None,Medium,Low,47.75,3.25,18.04
10005,2025-02-27 03:52:05.984603,Night,Low,Moderate,Urgent,Low,1.08,30.58,40.2,32.47,Snowy,None,Low,High,28.44,3.25,6.32
10006,2025-02-28 02:46:16.984603,Night,Medium,Heavy,Flexible,Low,1.08,17.14,24.91,17.28,Clear,Concert,Low,High,17.53,2.46,16.65
10007,2025-03-04 13:27:49.984603,Afternoon,Medium,Light,Flexible,Medium,1.08,41.52,46.61,39.940000000000005,Rainy,None,Low,Medium,41.52,8.93,17.71
10008,2025-02-27 12:55:37.984603,Afternoon,High,Moderate,Urgent,Medium,1.08,22.52,31.64,21.0,Stormy,None,Medium,Medium,23.65,6.81,7.73
10009,2025-02-28 13:17:22.984603,Afternoon,High,Moderate,Standard,Medium,1.08,15.77,23.23,14.52,Clear,None,Medium,Medium,16.56,7.66,11.46
10010,2025-02-28 17:46:14.984603,Afternoon,High,Moderate,Flexible,Medium,1.08,30.05,34.92,29.42,Stormy,Concert,Medium,High,29.34,2.16,7.48
10011,2025-03-01 17:53:26.984603,Afternoon,Low,Moderate,Standard,Medium,1.08,18.01,27.78,15.490000000000002,Stormy,Holiday,Low,High,16.75,9.76,15.6
10012,2025-02-27 00:02:09.984603,Night,Low,Heavy,Standard,High,1.08,22.83,26.52,20.6,Snowy,Festival,Low,Medium,25.11,8.66,13.03
10013,2025-03-02 08:06:44.984603,Morning,Medium,Light,Standard,Low,1.08,36.19,39.5,40.77,Clear,None,Low,Medium,36.19,3.7,14.53
10014,2025-02-27 06:37:39.984603,Morning,Low,Light,Flexible,High,1.08,49.82,58.870000000000005,47.83,Clear,Festival,Low,High,46.33,3.45,7.95
10015,2025-03-02 06:01:58.984603,Morning,Low,Light,Standard,Medium,1.08,34.01,41.38,35.28,Clear,Concert,Low,Medium,34.01,3.47,8.18
10016,2025-03-02 07:28:28.984603,Morning,Medium,Heavy,Standard,High,1.08,17.44,21.55,15.89,Stormy,Concert,High,High,16.95,4.43,5.62
10017,2025-02-28 19:54:40.984603,Night,Medium,Moderate,Flexible,Low,1.08,9.07,12.16,12.18,Clear,None,Medium,Medium,9.07,6.2,9.83
